"FrameId","VesicleId","MovieName","IntCh0","IntCh1","xCoord","yCoord","radius","bg0","bg1","Net0","Net1","Norm0","Norm1","rad_mean","rad_sd","rad_cv"
3,1033,"2ch_IP6_001_pos005.tif",175.94,4432.87,1043,532,77.55,136,141,39.94,4291.87,1.08976807639836,0.968847844293399,76.9352941176471,0.750159296808504,0.00975052224615381
4,1033,"2ch_IP6_001_pos005.tif",177.27,4489.71,1043,531,77.55,138,156,39.27,4333.71,1.07148703956344,0.978292816719227,76.9352941176471,0.750159296808504,0.00975052224615381
5,1033,"2ch_IP6_001_pos005.tif",179.81,4245.18,1042,532,78.1,139,145,40.81,4100.18,1.11350613915416,0.925575694094861,76.9352941176471,0.750159296808504,0.00975052224615381
6,1033,"2ch_IP6_001_pos005.tif",181.48,4365.23,1043,530,78.1,140,139,41.48,4226.23,1.13178717598909,0.954030253709477,76.9352941176471,0.750159296808504,0.00975052224615381
7,1033,"2ch_IP6_001_pos005.tif",183.42,4427.59,1043,530,78.1,141.7,148,41.7199999999999,4279.59,1.13833560709413,0.966075753916029,76.9352941176471,0.750159296808504,0.00975052224615381
8,1033,"2ch_IP6_001_pos005.tif",187.02,4542.58,1043,531,77,143,156,44.02,4386.58,1.20109140518417,0.990227704198995,76.9352941176471,0.750159296808504,0.00975052224615381
9,1033,"2ch_IP6_001_pos005.tif",189.05,4609.91,1043,530,77,144,157,45.05,4452.91,1.22919508867667,1.00520105556145,76.9352941176471,0.750159296808504,0.00975052224615381
10,1033,"2ch_IP6_001_pos005.tif",190.23,4629.49,1041,531,76.45,144,147,46.23,4482.49,1.26139154160982,1.01187845241508,76.9352941176471,0.750159296808504,0.00975052224615381
11,1033,"2ch_IP6_001_pos005.tif",187.11,3773.76,1044,529,77,141,142,46.11,3631.76,1.2581173260573,0.819834442094238,76.9352941176471,0.750159296808504,0.00975052224615381
12,1033,"2ch_IP6_001_pos005.tif",189.45,4282.35,1042,529,76.45,141,142,48.45,4140.35,1.32196452933151,0.934643680288586,76.9352941176471,0.750159296808504,0.00975052224615381
13,1033,"2ch_IP6_001_pos005.tif",198.98,5207.02,1042,528,75.9,147,162,51.98,5045.02,1.41828103683492,1.13886412016605,76.9352941176471,0.750159296808504,0.00975052224615381
14,1033,"2ch_IP6_001_pos005.tif",201.47,5213.92,1042,532,76.45,151,151,50.47,5062.92,1.37708049113233,1.14290487079756,76.9352941176471,0.750159296808504,0.00975052224615381
15,1033,"2ch_IP6_001_pos005.tif",204.44,5333.24,1042,528,75.9,153,147,51.44,5186.24,1.40354706684857,1.17074315950581,76.9352941176471,0.750159296808504,0.00975052224615381
16,1033,"2ch_IP6_001_pos005.tif",208.25,5537.4,1043,530,75.9,154,149,54.25,5388.4,1.48021828103683,1.21637881021339,76.9352941176471,0.750159296808504,0.00975052224615381
0,1041,"2ch_IP6_001_pos006.tif",162.79,4915.65,816,625,118.8,132,152,30.79,4763.65,1,1,119.738235294118,1.14653409943903,0.00957533820857436
1,1041,"2ch_IP6_001_pos006.tif",164.74,5313.48,826,638,117.7,133,148,31.74,5165.48,1.03085417343293,1.08435338448459,119.738235294118,1.14653409943903,0.00957533820857436
2,1041,"2ch_IP6_001_pos006.tif",167.43,5274.06,822,635,118.8,134,142,33.43,5132.06,1.08574212406626,1.07733775571253,119.738235294118,1.14653409943903,0.00957533820857436
3,1041,"2ch_IP6_001_pos006.tif",168.67,5067,818,640,119.9,135,141,33.67,4926,1.09353686261773,1.03408100931009,119.738235294118,1.14653409943903,0.00957533820857436
4,1041,"2ch_IP6_001_pos006.tif",171.48,5181.87,820,639,118.8,137,151,34.48,5030.87,1.11984410522897,1.05609564094759,119.738235294118,1.14653409943903,0.00957533820857436
5,1041,"2ch_IP6_001_pos006.tif",173.04,4972.74,817,639,119.35,138,144,35.04,4828.74,1.13803182851575,1.01366389218351,119.738235294118,1.14653409943903,0.00957533820857436
6,1041,"2ch_IP6_001_pos006.tif",175.36,5072.2,818,639,119.9,139,137,36.36,4935.2,1.18090289054888,1.0360123014915,119.738235294118,1.14653409943903,0.00957533820857436
7,1041,"2ch_IP6_001_pos006.tif",177.38,4780.37,818,638,120.45,140,154,37.38,4626.37,1.21403052939266,0.971181761884269,119.738235294118,1.14653409943903,0.00957533820857436
8,1041,"2ch_IP6_001_pos006.tif",179.26,5036.58,818,638,119.9,141,143,38.26,4893.58,1.24261123741475,1.02727530360123,119.738235294118,1.14653409943903,0.00957533820857436
9,1041,"2ch_IP6_001_pos006.tif",181.48,3958.98,818,638,122.1,141,145,40.48,3813.98,1.31471256901591,0.800642364573384,119.738235294118,1.14653409943903,0.00957533820857436
