"FrameId","VesicleId","MovieName","IntCh0","IntCh1","xCoord","yCoord","radius","bg0","bg1","Net0","Net1","Norm0","Norm1","rad_mean","rad_sd","rad_cv"
16,1520,"2ch_WT_001_pos003.tif",250.93,4538.75,1305,485,92.95,112,154,138.93,4384.75,1.28973264017824,1.11248541127518,93.0794117647059,0.533578375079932,0.00573250695254453
0,1521,"2ch_WT_001_pos003.tif",190.23,3284.95,262,213,75.9,108,156,82.23,3128.95,1,1,75.2205882352941,1.03863775319066,0.0138078919290254
1,1521,"2ch_WT_001_pos003.tif",183.02,2997.17,262,210,77,107,148,76.02,2849.17,0.924480116745714,0.910583422553892,75.2205882352941,1.03863775319066,0.0138078919290254
2,1521,"2ch_WT_001_pos003.tif",141.64,1636.34,281,209,72.6,108,164,33.64,1472.34,0.409096436823544,0.470554019719075,75.2205882352941,1.03863775319066,0.0138078919290254
3,1521,"2ch_WT_001_pos003.tif",191.81,2970.62,261,207,77.55,108,156,83.81,2814.62,1.01921439863797,0.899541379696064,75.2205882352941,1.03863775319066,0.0138078919290254
4,1521,"2ch_WT_001_pos003.tif",204.2,3298.62,261,207,75.35,108,143,96.2,3155.62,1.16988933479265,1.00852362613656,75.2205882352941,1.03863775319066,0.0138078919290254
5,1521,"2ch_WT_001_pos003.tif",200.2,3281.1,261,206,75.35,108,140,92.2,3141.1,1.12124528760793,1.003883091772,75.2205882352941,1.03863775319066,0.0138078919290254
6,1521,"2ch_WT_001_pos003.tif",205.65,3396.22,262,204,74.8,108,137,97.65,3259.22,1.18752280189712,1.04163377490852,75.2205882352941,1.03863775319066,0.0138078919290254
7,1521,"2ch_WT_001_pos003.tif",203.84,3291.73,262,204,75.35,108,136,95.84,3155.73,1.16551137054603,1.00855878169993,75.2205882352941,1.03863775319066,0.0138078919290254
8,1521,"2ch_WT_001_pos003.tif",202.76,3241.05,262,203,75.35,109,138,93.76,3103.05,1.14021646600997,0.991722462807012,75.2205882352941,1.03863775319066,0.0138078919290254
9,1521,"2ch_WT_001_pos003.tif",205.69,3263.31,262,201,75.35,109,136,96.69,3127.31,1.17584823057278,0.999475862509788,75.2205882352941,1.03863775319066,0.0138078919290254
10,1521,"2ch_WT_001_pos003.tif",207.54,3247.69,262,200,75.35,110,147,97.54,3100.69,1.18618509059954,0.990968216174755,75.2205882352941,1.03863775319066,0.0138078919290254
11,1521,"2ch_WT_001_pos003.tif",212.01,3379.27,263,200,74.8,113,155,99.01,3224.27,1.20406177793992,1.03046389363844,75.2205882352941,1.03863775319066,0.0138078919290254
12,1521,"2ch_WT_001_pos003.tif",216.58,3386.06,263,199,74.8,111,157,105.58,3229.06,1.28395962544084,1.0319947586251,75.2205882352941,1.03863775319066,0.0138078919290254
13,1521,"2ch_WT_001_pos003.tif",223.1,3386.01,263,199,74.8,112,157,111.1,3229.01,1.35108841055576,1.03197877882357,75.2205882352941,1.03863775319066,0.0138078919290254
14,1521,"2ch_WT_001_pos003.tif",221.22,3337.02,263,198,74.8,111,157,110.22,3180.02,1.34038672017512,1.01632176928363,75.2205882352941,1.03863775319066,0.0138078919290254
15,1521,"2ch_WT_001_pos003.tif",226.3,3332.3,263,197,74.8,112,157,114.3,3175.3,1.39000364830354,1.01481327601911,75.2205882352941,1.03863775319066,0.0138078919290254
16,1521,"2ch_WT_001_pos003.tif",237.31,3315.8,263,196,74.8,112,154,125.31,3161.8,1.5238963881795,1.01049872960578,75.2205882352941,1.03863775319066,0.0138078919290254
0,1524,"2ch_WT_001_pos004.tif",166.68,3640.96,1228,664,81.4,107,142,59.68,3498.96,1,1,79.7823529411765,1.35380726754109,0.0169687558417743
1,1524,"2ch_WT_001_pos004.tif",170.62,3643.91,1228,662,81.95,108,143,62.62,3500.91,1.04926273458445,1.00055730845737,79.7823529411765,1.35380726754109,0.0169687558417743
2,1524,"2ch_WT_001_pos004.tif",177.62,4069.2,1227,660,79.75,108,155,69.62,3914.2,1.16655495978552,1.11867526350687,79.7823529411765,1.35380726754109,0.0169687558417743
3,1524,"2ch_WT_001_pos004.tif",174.01,4079.36,1228,660,79.75,108,160,66.01,3919.36,1.10606568364611,1.12014998742483,79.7823529411765,1.35380726754109,0.0169687558417743
4,1524,"2ch_WT_001_pos004.tif",174.06,4125.96,1229,659,79.75,108,144,66.06,3981.96,1.10690348525469,1.13804101790246,79.7823529411765,1.35380726754109,0.0169687558417743
5,1524,"2ch_WT_001_pos004.tif",173.38,4073.93,1229,657,79.75,109,148,64.38,3925.93,1.07875335120643,1.12202768822736,79.7823529411765,1.35380726754109,0.0169687558417743
6,1524,"2ch_WT_001_pos004.tif",175.13,4044.3,1229,656,79.75,108,145,67.13,3899.3,1.12483243967828,1.11441685529414,79.7823529411765,1.35380726754109,0.0169687558417743
7,1524,"2ch_WT_001_pos004.tif",175.7,4085.21,1229,655,79.75,108,141,67.7,3944.21,1.13438337801609,1.12725209776619,79.7823529411765,1.35380726754109,0.0169687558417743
8,1524,"2ch_WT_001_pos004.tif",164.57,3612.36,1239,654,75.35,109,139,55.57,3473.36,0.931132707774799,0.992683540251961,79.7823529411765,1.35380726754109,0.0169687558417743
9,1524,"2ch_WT_001_pos004.tif",180.24,4215.82,1230,652,79.2,109,141,71.24,4074.82,1.19369973190349,1.16458033244164,79.7823529411765,1.35380726754109,0.0169687558417743
10,1524,"2ch_WT_001_pos004.tif",173.3,3777.08,1230,655,79.75,109,143,64.3,3634.08,1.07741286863271,1.03861718910762,79.7823529411765,1.35380726754109,0.0169687558417743
