Image A,Image B,ROI,Auto Threshold A,Auto Threshold B,Using Stack Histogram,Pearson's Coefficient,Spearman's Rank Coefficient,M1,M2,Threshold A,Threshold B,Thresholded M1,Thresholded M2,Overlap Coefficient,k1,k2,Thresholded Overlap Coefficient,Thresholded k1,Thresholded k2,ICQ,Area tot,Area A,Area B,Area Overlap,Timepoint,ColocSourceFile,SampleID,Group,Image,Area,Ch2_Mean,Ch2_IntDen,Ch2_Min,Ch2_Max,Ch2_StdDev,Ch3_Mean,Ch3_IntDen,Ch3_Min,Ch3_Max,Ch3_StdDev,IntensitySourceFile
C2-B2_013_MIP.tif T1,C3-B2_013_MIP.tif T1,19d253d6-73f6-11f1-b15e-acde48001122,Otsu,Otsu,FALSE,0.634,0.336,1,1,8487,3717,0.729,0.491,0.74,0.323,1.698,0.917,0.535,1.572,0.499,1547.383,42.18,73.832,28.765,1,B2_013_MIP_colocalisation.csv,B2_013_MIP,B2_,B2_013_MIP.tif,1547.383,3480.936,5386341.112,184,47049,2436.008,972.937,1505505.768,141,27081,1575.74,B2_013_MIP_intensity.csv
C2-B2_014_MIP.tif T1,C3-B2_014_MIP.tif T1,451619ec-73f6-11f1-b15e-acde48001122,Otsu,Otsu,FALSE,0.644,0.413,1,1,9357,5770,0.834,0.315,0.755,0.694,0.821,0.897,0.756,1.066,0.5,1223.724,21.219,73.961,16.818,1,B2_014_MIP_colocalisation.csv,B2_014_MIP,B2_,B2_014_MIP.tif,1223.724,2542.772,3111651.675,208,48693,2381.55,1663.383,2035522.491,166,44588,2737.898,B2_014_MIP_intensity.csv
C2-B2_014_MIP.tif T1,C3-B2_014_MIP.tif T1,451625ea-73f6-11f1-b15e-acde48001122,Otsu,Otsu,FALSE,0.634,0.293,1,1,7794,5085,0.918,0.34,0.713,0.556,0.914,0.907,0.905,0.909,0.5,419.261,2.946,10.997,2.605,1,B2_014_MIP_colocalisation.csv,B2_014_MIP,B2_,B2_014_MIP.tif,419.261,2151.485,902033.285,257,31053,1354.626,983.841,412485.82,135,34125,1722.963,B2_014_MIP_intensity.csv
C2-B2_014_MIP.tif T1,C3-B2_014_MIP.tif T1,45162900-73f6-11f1-b15e-acde48001122,Otsu,Otsu,FALSE,0.698,0.375,1,1,7265,7281,0.817,0.464,0.732,0.837,0.641,0.889,1.218,0.649,0.5,564.883,10.985,23.742,8.579,1,B2_014_MIP_colocalisation.csv,B2_014_MIP,B2_,B2_014_MIP.tif,564.883,2279.521,1287661.858,212,37810,1902.901,1447.343,817579.052,158,50180,3068.001,B2_014_MIP_intensity.csv
C2-B2_014_MIP.tif T1,C3-B2_014_MIP.tif T1,45162c48-73f6-11f1-b15e-acde48001122,Otsu,Otsu,FALSE,0.68,0.528,1,1,6852,4776,0.821,0.503,0.77,0.559,1.06,0.902,0.796,1.023,0.5,1071.061,32.92,62.154,25.643,1,B2_014_MIP_colocalisation.csv,B2_014_MIP,B2_,B2_014_MIP.tif,1071.061,2832.052,3033300.595,173,36403,2072.748,1360.652,1457341.235,143,28999,2155.62,B2_014_MIP_intensity.csv
C2-B2_015_MIP.tif T1,C3-B2_015_MIP.tif T1,51fa257c-73f6-11f1-b15e-acde48001122,Otsu,Otsu,FALSE,0.528,0.212,1,1,8130,3616,0.804,0.247,0.698,0.486,1.001,0.86,0.535,1.381,0.494,2327.201,25.526,113.218,19.165,1,B2_015_MIP_colocalisation.csv,B2_015_MIP,B2_,B2_015_MIP.tif,2327.201,1986.734,4623527.687,126,44107,1797.248,1004.425,2337497.95,154,29748,1574.328,B2_015_MIP_intensity.csv
C2-B2_016_MIP.tif T1,C3-B2_016_MIP.tif T1,5dbd5bd6-73f6-11f1-b15e-acde48001122,Otsu,Otsu,FALSE,0.577,0.375,1,1,9866,4767,0.708,0.328,0.712,0.428,1.185,0.846,0.523,1.367,0.5,660.074,15.949,40.349,10.692,1,B2_016_MIP_colocalisation.csv,B2_016_MIP,B2_,B2_016_MIP.tif,660.074,3485.662,2300795.197,319,49329,2613.508,1364.041,900368.107,139,33764,2235.03,B2_016_MIP_intensity.csv
C2-B2_016_MIP.tif T1,C3-B2_016_MIP.tif T1,5dbd5eec-73f6-11f1-b15e-acde48001122,Otsu,Otsu,FALSE,0.501,0.272,1,1,2700,4383,0.358,0.641,0.702,0.76,0.648,0.821,1.379,0.489,0.5,498.034,54.902,26.078,14.964,1,B2_016_MIP_colocalisation.csv,B2_016_MIP,B2_,B2_016_MIP.tif,498.034,1866.642,929650.621,264,22949,1040.037,1329.217,661994.991,201,31936,1893.613,B2_016_MIP_intensity.csv
C2-B2_017_MIP.tif T1,C3-B2_017_MIP.tif T1,6aef03ea-73f6-11f1-b15e-acde48001122,Otsu,Otsu,FALSE,0.516,0.337,1,1,5768,3263,0.546,0.469,0.685,0.319,1.469,0.819,0.611,1.097,0.5,1078.502,23.766,29.61,11.196,1,B2_017_MIP_colocalisation.csv,B2_017_MIP,B2_,B2_017_MIP.tif,1078.502,2463.621,2657019.975,156,32684,1591.131,728.977,786202.78,144,37824,1156.542,B2_017_MIP_intensity.csv
C2-B2_017_MIP.tif T1,C3-B2_017_MIP.tif T1,6aef0e9e-73f6-11f1-b15e-acde48001122,Otsu,Otsu,FALSE,0.53,0.273,1,1,7103,2277,0.425,0.581,0.798,0.203,3.132,0.871,0.337,2.249,0.5,876.406,15.785,12.745,6.021,1,B2_017_MIP_colocalisation.csv,B2_017_MIP,B2_,B2_017_MIP.tif,876.406,2539.448,2225587.212,181,32934,1718.165,556.624,487828.594,145,11850,548.61,B2_017_MIP_intensity.csv
C2-B2_018_MIP.tif T1,C3-B2_018_MIP.tif T1,75653022-73f8-11f1-b15e-acde48001122,Otsu,Otsu,FALSE,0.65,0.32,1,1,8669,6181,0.769,0.464,0.729,0.55,0.967,0.881,0.786,0.988,0.5,1064.547,24.317,46.592,17.111,1,B2_018_MIP_colocalisation.csv,B2_018_MIP,B2_,B2_018_MIP.tif,1064.547,3074.317,3272756.367,228,59745,2422.565,1411.275,1502369.245,147,49255,2591.766,B2_018_MIP_intensity.csv
C2-B2_019_MIP.tif T1,C3-B2_019_MIP.tif T1,87ea7d92-73f8-11f1-b15e-acde48001122,Otsu,Otsu,FALSE,0.648,0.561,1,1,9007,3293,0.839,0.26,0.749,0.416,1.346,0.862,0.493,1.508,0.5,520.25,4.342,20.245,3.45,1,B2_019_MIP_colocalisation.csv,B2_019_MIP,B2_,B2_019_MIP.tif,520.25,2165.433,1126566.649,189,40295,1750.151,794.171,413167.489,134,29992,1329.743,B2_019_MIP_intensity.csv
C2-B2_019_MIP.tif T1,C3-B2_019_MIP.tif T1,87ea8698-73f8-11f1-b15e-acde48001122,Otsu,Otsu,FALSE,0.592,0.278,1,1,11237,5321,0.79,0.389,0.722,0.419,1.242,0.872,0.579,1.314,0.5,785.944,14.67,37.955,10.903,1,B2_019_MIP_colocalisation.csv,B2_019_MIP,B2_,B2_019_MIP.tif,785.944,3590.526,2821952.201,169,57307,3007.027,1405.934,1104984.996,153,35710,2328.435,B2_019_MIP_intensity.csv
C2-B2_019_MIP.tif T1,C3-B2_019_MIP.tif T1,87ea8a58-73f8-11f1-b15e-acde48001122,Otsu,Otsu,FALSE,0.688,0.441,1,1,9404,7593,0.78,0.534,0.757,0.66,0.869,0.86,0.816,0.907,0.5,871.7,26.923,42.215,19.681,1,B2_019_MIP_colocalisation.csv,B2_019_MIP,B2_,B2_019_MIP.tif,871.7,3189.526,2780308.498,169,47018,2893.001,1774.682,1546989.367,158,53786,3305.69,B2_019_MIP_intensity.csv
